,algorithim,confidence_interval,bool
0,p1,0.0970486,False
1,p1,0.323581,True
2,p1,0.716012,True
3,p1,0.17027799999999998,False
4,p1,0.555712,True
5,p1,0.425595,True
6,p1,0.34170300000000003,True
7,p1,0.566142,True
8,p1,0.487574,True
9,p1,0.511319,True
10,p1,0.957979,True
11,p1,0.377417,True
12,p1,0.966327,True
13,p1,0.99165,True
14,p1,0.953442,True
15,p1,0.626152,True
16,p1,0.714719,True
17,p1,0.46976,True
18,p1,0.700377,True
19,p1,0.809197,True
20,p1,0.995026,True
21,p1,0.821664,True
22,p1,0.130432,False
23,p1,0.809197,True
24,p1,0.330741,True
25,p1,0.733942,True
26,p1,0.793469,True
27,p1,0.309706,True
28,p1,0.738995,False
29,p1,0.999201,True
30,p1,0.943575,
31,p1,0.972494,True
32,p1,0.369275,
33,p1,0.908703,True
34,p1,0.8124819999999999,True
35,p1,0.259916,
36,p1,0.822103,True
37,p1,0.5464060000000001,True
38,p1,0.993225,True
39,p1,0.707046,True
40,p1,0.610946,True
41,p1,0.943082,True
42,p1,0.987997,
43,p1,0.949562,True
44,p1,0.466778,True
45,p1,0.85005,True
46,p1,0.542982,True
47,p1,0.762211,True
48,p1,0.949591,True
49,p1,0.291539,True
50,p1,0.529012,True
51,p1,0.281463,True
52,p1,0.473303,False
53,p1,0.251801,True
54,p1,0.791416,True
55,p1,0.913255,
56,p1,0.238525,True
57,p1,0.120298,False
58,p1,0.813507,False
59,p1,0.479896,True
60,p1,0.383404,True
61,p1,0.663601,True
62,p1,0.311861,True
63,p1,0.960513,True
64,p1,0.734684,
65,p1,0.32042,True
66,p1,0.839097,True
67,p1,0.8379559999999999,False
68,p1,0.364729,
69,p1,0.995368,False
70,p1,0.5099670000000001,True
71,p1,0.93112,True
72,p1,0.575751,
73,p1,0.874566,
74,p1,0.534327,
75,p1,0.799551,True
76,p1,0.245048,True
77,p1,0.7143189999999999,True
78,p1,0.836052,True
79,p1,0.437216,True
80,p1,0.8321770000000001,True
81,p1,0.806674,True
82,p1,0.153718,True
83,p1,0.678537,
84,p1,0.6197819999999999,True
85,p1,0.476913,True
86,p1,0.99912,True
87,p1,0.513191,True
88,p1,0.931861,
89,p1,0.972019,True
90,p1,0.808396,True
91,p1,0.969171,
92,p1,0.921393,True
93,p1,0.974781,True
94,p1,0.3980530000000001,True
95,p1,0.16829000000000002,False
96,p1,0.945495,True
97,p1,0.841001,
98,p1,0.6227520000000001,True
99,p1,0.534409,True
100,p1,0.980148,True
101,p1,0.993449,
102,p1,0.955156,True
103,p1,0.664181,True
104,p1,0.153718,True
105,p1,0.868107,False
106,p1,0.378151,True
107,p1,0.522644,True
108,p1,0.661953,True
109,p1,0.6164569999999999,
110,p1,0.352946,
111,p1,0.471403,True
112,p1,0.51473,False
113,p1,0.905334,
114,p1,0.984086,True
115,p1,0.673664,True
116,p1,0.832435,True
117,p1,0.989882,False
118,p1,0.478616,
119,p1,0.668613,True
120,p1,0.945905,True
121,p1,0.35882800000000004,True
122,p1,0.41333,True
123,p1,0.690517,False
124,p1,0.275242,
125,p1,0.935804,True
126,p1,0.207281,True
127,p1,0.39333,True
128,p1,0.496348,True
129,p1,0.677589,True
130,p1,0.366248,True
131,p1,0.771008,True
132,p1,0.14471199999999998,
133,p1,0.507951,
134,p1,0.933016,True
135,p1,0.583936,True
136,p1,0.286558,True
137,p1,0.312299,
138,p1,0.267612,True
139,p1,0.254587,True
140,p1,0.899086,True
141,p1,0.8955290000000001,False
142,p1,0.224218,True
143,p1,0.190292,True
144,p1,0.57812,False
145,p1,0.987407,True
146,p1,0.863874,
147,p1,0.43258,True
148,p1,0.919832,
149,p1,0.8415969999999999,True
150,p1,0.998021,True
151,p1,0.968623,True
152,p1,0.30691,True
153,p1,0.798481,False
154,p1,0.8765430000000001,True
