	year	quarter	origin	ticket_carrier	operating_carrier	passengers
1751	2008	4	ORD	American Airlines	American Airlines	1
1996	2008	4	ORD	American Airlines	American Airlines	1
2038	2008	4	ORD	American Airlines	American Airlines	1
2090	2008	4	ORD	American Airlines	99	1
2092	2008	4	ORD	United Air Lines	United Air Lines	1
2097	2008	4	ORD	American Airlines	American Airlines	1
2099	2008	4	ORD	American Airlines	American Airlines	1
2101	2008	4	ORD	American Airlines	American Airlines	1
2103	2008	4	ORD	American Airlines	American Airlines	2
2105	2008	4	ORD	American Airlines	American Airlines	1
2107	2008	4	ORD	American Airlines	American Airlines	1
2109	2008	4	ORD	American Airlines	American Airlines	1
2111	2008	4	ORD	American Airlines	American Airlines	1
2113	2008	4	ORD	American Airlines	American Airlines	1
2115	2008	4	ORD	American Airlines	American Airlines	1
2117	2008	4	ORD	American Airlines	American Airlines	2
2119	2008	4	ORD	American Airlines	American Airlines	1
2121	2008	4	ORD	American Airlines	American Airlines	1
2123	2008	4	ORD	American Airlines	American Airlines	1
2125	2008	4	ORD	American Airlines	American Airlines	1
2127	2008	4	ORD	American Airlines	American Airlines	1
2129	2008	4	ORD	American Airlines	American Airlines	1
2226	2008	4	ORD	American Airlines	American Airlines	1
2305	2008	4	ORD	American Airlines	99	1
2355	2008	4	ORD	American Airlines	99	1
2357	2008	4	ORD	American Airlines	American Airlines	1
2508	2008	4	ORD	US Airways	US Airways	1
2510	2008	4	ORD	US Airways	US Airways	1
2512	2008	4	ORD	US Airways	US Airways	1
2514	2008	4	ORD	US Airways	US Airways	1
2516	2008	4	ORD	US Airways	US Airways	1
2518	2008	4	ORD	American Airlines	American Airlines	1
2520	2008	4	ORD	American Airlines	American Airlines	1
2523	2008	4	ORD	American Airlines	99	1
2525	2008	4	ORD	American Airlines	99	1
2949	2008	4	ORD	United Air Lines	United Air Lines	1
3052	2008	4	ORD	American Airlines	American Airlines	1
3054	2008	4	ORD	US Airways	US Airways	1
3091	2008	4	ORD	American Airlines	99	1
3212	2008	4	ORD	American Airlines	99	1
3276	2008	4	ORD	American Airlines	American Airlines	1
3278	2008	4	ORD	American Airlines	American Airlines	1
3280	2008	4	ORD	American Airlines	American Airlines	1
3282	2008	4	ORD	American Airlines	American Airlines	1
3284	2008	4	ORD	American Airlines	American Airlines	1
3286	2008	4	ORD	American Airlines	American Airlines	1
3288	2008	4	ORD	American Airlines	American Airlines	1
3290	2008	4	ORD	American Airlines	American Airlines	8
3292	2008	4	ORD	American Airlines	American Airlines	20
3294	2008	4	ORD	American Airlines	American Airlines	1
3296	2008	4	ORD	American Airlines	American Airlines	6
3298	2008	4	ORD	American Airlines	American Airlines	3
3300	2008	4	ORD	American Airlines	American Airlines	1
3302	2008	4	ORD	American Airlines	American Airlines	4
3304	2008	4	ORD	American Airlines	American Airlines	2
3306	2008	4	ORD	American Airlines	American Airlines	1
3308	2008	4	ORD	American Airlines	American Airlines	1
3310	2008	4	ORD	American Airlines	American Airlines	1
3312	2008	4	ORD	American Airlines	American Airlines	10
3314	2008	4	ORD	American Airlines	American Airlines	1
3316	2008	4	ORD	American Airlines	American Airlines	1
3318	2008	4	ORD	American Airlines	American Airlines	1
3320	2008	4	ORD	American Airlines	American Airlines	3
3322	2008	4	ORD	American Airlines	American Airlines	1
3324	2008	4	ORD	American Airlines	American Airlines	1
3326	2008	4	ORD	American Airlines	American Airlines	3
3328	2008	4	ORD	American Airlines	American Airlines	1
3330	2008	4	ORD	American Airlines	American Airlines	1
3332	2008	4	ORD	American Airlines	American Airlines	13
3334	2008	4	ORD	American Airlines	American Airlines	2
3336	2008	4	ORD	American Airlines	American Airlines	4
3338	2008	4	ORD	American Airlines	American Airlines	16
3340	2008	4	ORD	American Airlines	American Airlines	9
3342	2008	4	ORD	American Airlines	American Airlines	2
3344	2008	4	ORD	American Airlines	American Airlines	3
3346	2008	4	ORD	American Airlines	American Airlines	1
3348	2008	4	ORD	American Airlines	American Airlines	3
3350	2008	4	ORD	American Airlines	American Airlines	1
3352	2008	4	ORD	American Airlines	American Airlines	1
3354	2008	4	ORD	American Airlines	American Airlines	1
3356	2008	4	ORD	American Airlines	American Airlines	1
3358	2008	4	ORD	American Airlines	American Airlines	16
3360	2008	4	ORD	American Airlines	American Airlines	2
3362	2008	4	ORD	American Airlines	American Airlines	3
3364	2008	4	ORD	American Airlines	American Airlines	4
3366	2008	4	ORD	American Airlines	American Airlines	2
3368	2008	4	ORD	American Airlines	American Airlines	5
3370	2008	4	ORD	American Airlines	American Airlines	2
3372	2008	4	ORD	American Airlines	American Airlines	3
3374	2008	4	ORD	American Airlines	American Airlines	1
3376	2008	4	ORD	American Airlines	American Airlines	5
3378	2008	4	ORD	American Airlines	American Airlines	21
3380	2008	4	ORD	American Airlines	American Airlines	1
3382	2008	4	ORD	American Airlines	American Airlines	1
3384	2008	4	ORD	American Airlines	American Airlines	2
3386	2008	4	ORD	American Airlines	American Airlines	10
3388	2008	4	ORD	American Airlines	American Airlines	74
3390	2008	4	ORD	American Airlines	American Airlines	1
3392	2008	4	ORD	American Airlines	American Airlines	1
3394	2008	4	ORD	American Airlines	American Airlines	2
3396	2008	4	ORD	American Airlines	American Airlines	1
3398	2008	4	ORD	American Airlines	American Airlines	31
3400	2008	4	ORD	American Airlines	American Airlines	1
3402	2008	4	ORD	American Airlines	American Airlines	13
3404	2008	4	ORD	American Airlines	American Airlines	1
3406	2008	4	ORD	American Airlines	American Airlines	1
3408	2008	4	ORD	American Airlines	American Airlines	2
3410	2008	4	ORD	American Airlines	American Airlines	2
3412	2008	4	ORD	American Airlines	American Airlines	2
3414	2008	4	ORD	American Airlines	American Airlines	2
3416	2008	4	ORD	American Airlines	American Airlines	1
3418	2008	4	ORD	American Airlines	American Airlines	1
3420	2008	4	ORD	American Airlines	American Airlines	1
3422	2008	4	ORD	American Airlines	American Airlines	1
3424	2008	4	ORD	American Airlines	American Airlines	2
3426	2008	4	ORD	American Airlines	American Airlines	1
3428	2008	4	ORD	American Airlines	American Airlines	3
3430	2008	4	ORD	American Airlines	American Airlines	2
3432	2008	4	ORD	American Airlines	American Airlines	3
3434	2008	4	ORD	American Airlines	American Airlines	1
3436	2008	4	ORD	American Airlines	American Airlines	2
3438	2008	4	ORD	American Airlines	American Airlines	2
3440	2008	4	ORD	American Airlines	American Airlines	2
3442	2008	4	ORD	American Airlines	American Airlines	1
3444	2008	4	ORD	American Airlines	American Airlines	1
3446	2008	4	ORD	American Airlines	American Airlines	3
3448	2008	4	ORD	American Airlines	American Airlines	4
3450	2008	4	ORD	American Airlines	American Airlines	1
3452	2008	4	ORD	American Airlines	American Airlines	1
3454	2008	4	ORD	American Airlines	American Airlines	4
3456	2008	4	ORD	American Airlines	American Airlines	10
3458	2008	4	ORD	American Airlines	American Airlines	8
3460	2008	4	ORD	American Airlines	American Airlines	1
3462	2008	4	ORD	American Airlines	American Airlines	1
3464	2008	4	ORD	American Airlines	American Airlines	1
3466	2008	4	ORD	American Airlines	American Airlines	3
3468	2008	4	ORD	American Airlines	American Airlines	9
3470	2008	4	ORD	American Airlines	American Airlines	6
3472	2008	4	ORD	American Airlines	American Airlines	1
3474	2008	4	ORD	American Airlines	American Airlines	1
3476	2008	4	ORD	American Airlines	American Airlines	1
3478	2008	4	ORD	American Airlines	American Airlines	1
3480	2008	4	ORD	American Airlines	American Airlines	1
3482	2008	4	ORD	American Airlines	American Airlines	1
3484	2008	4	ORD	American Airlines	American Airlines	2
3486	2008	4	ORD	American Airlines	American Airlines	2
3488	2008	4	ORD	American Airlines	American Airlines	3
3490	2008	4	ORD	American Airlines	American Airlines	1
3492	2008	4	ORD	American Airlines	American Airlines	1
3494	2008	4	ORD	American Airlines	American Airlines	2
3496	2008	4	ORD	American Airlines	American Airlines	1
3498	2008	4	ORD	American Airlines	American Airlines	1
3500	2008	4	ORD	American Airlines	American Airlines	1
3502	2008	4	ORD	American Airlines	American Airlines	4
3504	2008	4	ORD	American Airlines	American Airlines	2
3506	2008	4	ORD	American Airlines	American Airlines	5
3508	2008	4	ORD	American Airlines	American Airlines	2
3510	2008	4	ORD	American Airlines	American Airlines	4
3512	2008	4	ORD	American Airlines	American Airlines	1
3514	2008	4	ORD	American Airlines	American Airlines	1
3516	2008	4	ORD	American Airlines	American Airlines	1
3518	2008	4	ORD	American Airlines	American Airlines	2
3520	2008	4	ORD	American Airlines	American Airlines	1
3522	2008	4	ORD	American Airlines	American Airlines	5
3524	2008	4	ORD	American Airlines	American Airlines	1
3526	2008	4	ORD	American Airlines	American Airlines	1
3528	2008	4	ORD	American Airlines	American Airlines	1
3530	2008	4	ORD	American Airlines	American Airlines	2
3532	2008	4	ORD	American Airlines	American Airlines	1
3534	2008	4	ORD	American Airlines	American Airlines	1
3536	2008	4	ORD	American Airlines	American Airlines	1
3538	2008	4	ORD	American Airlines	American Airlines	1
3540	2008	4	ORD	American Airlines	American Airlines	4
3542	2008	4	ORD	American Airlines	American Airlines	1
3544	2008	4	ORD	American Airlines	American Airlines	1
3546	2008	4	ORD	American Airlines	American Airlines	1
3548	2008	4	ORD	American Airlines	American Airlines	5
3550	2008	4	ORD	American Airlines	American Airlines	1
3552	2008	4	ORD	American Airlines	American Airlines	2
3554	2008	4	ORD	American Airlines	American Airlines	1
3556	2008	4	ORD	American Airlines	American Airlines	4
3558	2008	4	ORD	American Airlines	American Airlines	1
3560	2008	4	ORD	American Airlines	American Airlines	1
3562	2008	4	ORD	American Airlines	American Airlines	1
3564	2008	4	ORD	American Airlines	American Airlines	1
3566	2008	4	ORD	American Airlines	American Airlines	1
3568	2008	4	ORD	American Airlines	American Airlines	1
3570	2008	4	ORD	American Airlines	American Airlines	1
3572	2008	4	ORD	American Airlines	American Airlines	1
3574	2008	4	ORD	American Airlines	American Airlines	1
3576	2008	4	ORD	American Airlines	American Airlines	2
3578	2008	4	ORD	American Airlines	American Airlines	1
3580	2008	4	ORD	American Airlines	American Airlines	4
3582	2008	4	ORD	American Airlines	American Airlines	1
3584	2008	4	ORD	American Airlines	American Airlines	1
3586	2008	4	ORD	American Airlines	American Airlines	1
3588	2008	4	ORD	American Airlines	American Airlines	1
3590	2008	4	ORD	American Airlines	American Airlines	1
3592	2008	4	ORD	American Airlines	American Airlines	1
3594	2008	4	ORD	American Airlines	American Airlines	1
3596	2008	4	ORD	American Airlines	American Airlines	17
3598	2008	4	ORD	American Airlines	American Airlines	1
3600	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3602	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
3604	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3606	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3608	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3610	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3612	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3614	2008	4	ORD	Alaska Airlines	Alaska Airlines	8
3616	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3618	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
3620	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
3622	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3624	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3626	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3628	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
3630	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
3632	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
3634	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3636	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3638	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3640	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3642	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3644	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
3646	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3648	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3650	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3652	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3654	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
3656	2008	4	ORD	United Air Lines	United Air Lines	1
3658	2008	4	ORD	United Air Lines	United Air Lines	1
3660	2008	4	ORD	United Air Lines	United Air Lines	1
3662	2008	4	ORD	United Air Lines	United Air Lines	1
3664	2008	4	ORD	United Air Lines	United Air Lines	2
3666	2008	4	ORD	United Air Lines	United Air Lines	1
3668	2008	4	ORD	United Air Lines	United Air Lines	2
3670	2008	4	ORD	United Air Lines	United Air Lines	1
3672	2008	4	ORD	United Air Lines	United Air Lines	1
3674	2008	4	ORD	United Air Lines	United Air Lines	1
3676	2008	4	ORD	United Air Lines	United Air Lines	3
3678	2008	4	ORD	United Air Lines	United Air Lines	1
3680	2008	4	ORD	United Air Lines	United Air Lines	1
3682	2008	4	ORD	United Air Lines	United Air Lines	2
3684	2008	4	ORD	United Air Lines	United Air Lines	1
3686	2008	4	ORD	United Air Lines	United Air Lines	1
3688	2008	4	ORD	United Air Lines	United Air Lines	1
3690	2008	4	ORD	United Air Lines	United Air Lines	1
3692	2008	4	ORD	United Air Lines	United Air Lines	1
3694	2008	4	ORD	United Air Lines	United Air Lines	1
3696	2008	4	ORD	United Air Lines	United Air Lines	1
3698	2008	4	ORD	US Airways	United Air Lines	1
3700	2008	4	ORD	US Airways	United Air Lines	1
3702	2008	4	ORD	American Airlines	American Airlines	1
3708	2008	4	ORD	American Airlines	American Airlines	1
3717	2008	4	ORD	American Airlines	American Airlines	1
3721	2008	4	ORD	Delta Air Lines	Delta Air Lines	1
