	year	origin	dest	dest_state_nm
750	2008	ORD	RDU	North Carolina
771	2008	ORD	RDU	North Carolina
1591	2008	ORD	RDU	North Carolina
2523	2008	ORD	RDU	North Carolina
3289	2008	ORD	RIC	Virginia
3351	2008	ORD	RIC	Virginia
3353	2008	ORD	RIC	Virginia
3355	2008	ORD	RIC	Virginia
3544	2008	ORD	RIC	Virginia
3975	2008	ORD	MFR	Oregon
3977	2008	ORD	MFR	Oregon
3979	2008	ORD	MFR	Oregon
3981	2008	ORD	MFR	Oregon
3989	2008	ORD	MFR	Oregon
3991	2008	ORD	MFR	Oregon
3993	2008	ORD	MFR	Oregon
3995	2008	ORD	MFR	Oregon
3997	2008	ORD	MFR	Oregon
3999	2008	ORD	MFR	Oregon
4001	2008	ORD	MFR	Oregon
4003	2008	ORD	SLC	Utah
4237	2008	ORD	MFR	Oregon
4239	2008	ORD	MFR	Oregon
4459	2008	ORD	MFR	Oregon
4461	2008	ORD	MFR	Oregon
4463	2008	ORD	MFR	Oregon
4465	2008	ORD	MFR	Oregon
4496	2008	ORD	MFR	Oregon
4498	2008	ORD	MFR	Oregon
4516	2008	ORD	MFR	Oregon
4518	2008	ORD	MFR	Oregon
4524	2008	ORD	MFR	Oregon
4526	2008	ORD	MFR	Oregon
4528	2008	ORD	MFR	Oregon
4530	2008	ORD	MFR	Oregon
4536	2008	ORD	MFR	Oregon
4538	2008	ORD	MFR	Oregon
4546	2008	ORD	MFR	Oregon
4548	2008	ORD	MFR	Oregon
4550	2008	ORD	MFR	Oregon
4552	2008	ORD	MFR	Oregon
4554	2008	ORD	MFR	Oregon
4556	2008	ORD	MFR	Oregon
4558	2008	ORD	MFR	Oregon
4560	2008	ORD	MFR	Oregon
4562	2008	ORD	MFR	Oregon
4564	2008	ORD	MFR	Oregon
4566	2008	ORD	MFR	Oregon
4568	2008	ORD	MFR	Oregon
4579	2008	ORD	MFR	Oregon
4581	2008	ORD	MFR	Oregon
4583	2008	ORD	MFR	Oregon
4585	2008	ORD	MFR	Oregon
4587	2008	ORD	MFR	Oregon
4589	2008	ORD	MFR	Oregon
4591	2008	ORD	MFR	Oregon
4593	2008	ORD	MFR	Oregon
4595	2008	ORD	MFR	Oregon
4613	2008	ORD	MFR	Oregon
4615	2008	ORD	MFR	Oregon
5679	2008	ORD	MFR	Oregon
5681	2008	ORD	MFR	Oregon
5711	2008	ORD	MFR	Oregon
5713	2008	ORD	MFR	Oregon
5715	2008	ORD	MFR	Oregon
5717	2008	ORD	MFR	Oregon
5724	2008	ORD	MFR	Oregon
5726	2008	ORD	PDX	Oregon
5728	2008	ORD	MFR	Oregon
5732	2008	ORD	MFR	Oregon
5734	2008	ORD	MFR	Oregon
5736	2008	ORD	MFR	Oregon
5744	2008	ORD	MFR	Oregon
5746	2008	ORD	MFR	Oregon
6741	2008	ORD	MFR	Oregon
6743	2008	ORD	MFR	Oregon
9225	2008	ORD	ASE	Colorado
10474	2008	ORD	LNK	Nebraska
10769	2008	ORD	CLT	North Carolina
10826	2008	ORD	MCI	Missouri
10832	2008	ORD	MKE	Wisconsin
10834	2008	ORD	MKE	Wisconsin
10836	2008	ORD	MKE	Wisconsin
10838	2008	ORD	MKE	Wisconsin
10840	2008	ORD	MKE	Wisconsin
10843	2008	ORD	MSN	Wisconsin
13165	2008	ORD	MLI	Illinois
13167	2008	ORD	MLI	Illinois
13169	2008	ORD	MLI	Illinois
13508	2008	ORD	MOD	California
13510	2008	ORD	MOD	California
13824	2008	ORD	MOD	California
13826	2008	ORD	MOD	California
13828	2008	ORD	MOD	California
13830	2008	ORD	MOD	California
13838	2008	ORD	MOD	California
13840	2008	ORD	MOD	California
13842	2008	ORD	MOD	California
13844	2008	ORD	MOD	California
13846	2008	ORD	MOD	California
14154	2008	ORD	FAT	California
14156	2008	ORD	MOD	California
14535	2008	ORD	MOD	California
14537	2008	ORD	MOD	California
14569	2008	ORD	MOD	California
14571	2008	ORD	MOD	California
14573	2008	ORD	MOD	California
14575	2008	ORD	MOD	California
14577	2008	ORD	MOD	California
14579	2008	ORD	MOD	California
14581	2008	ORD	MOD	California
14583	2008	ORD	MOD	California
14585	2008	ORD	MOD	California
14587	2008	ORD	MOD	California
14589	2008	ORD	MOD	California
14591	2008	ORD	MOD	California
14593	2008	ORD	MOD	California
14595	2008	ORD	MOD	California
14597	2008	ORD	MOD	California
14599	2008	ORD	MOD	California
14601	2008	ORD	MOD	California
14603	2008	ORD	MOD	California
14605	2008	ORD	MOD	California
15062	2008	ORD	MRY	California
15183	2008	ORD	MRY	California
15349	2008	ORD	MRY	California
15351	2008	ORD	MRY	California
15353	2008	ORD	SFO	California
15408	2008	ORD	MRY	California
15416	2008	ORD	MRY	California
15422	2008	ORD	MRY	California
15424	2008	ORD	MRY	California
15426	2008	ORD	MRY	California
15428	2008	ORD	MRY	California
15430	2008	ORD	MRY	California
15850	2008	ORD	MRY	California
15852	2008	ORD	MRY	California
15866	2008	ORD	MRY	California
15868	2008	ORD	MRY	California
15870	2008	ORD	MRY	California
15874	2008	ORD	MRY	California
16498	2008	ORD	MRY	California
16503	2008	ORD	MRY	California
16505	2008	ORD	MRY	California
16507	2008	ORD	MRY	California
16528	2008	ORD	SFO	California
16530	2008	ORD	MRY	California
16532	2008	ORD	MRY	California
16534	2008	ORD	MRY	California
16536	2008	ORD	MRY	California
16538	2008	ORD	MRY	California
16540	2008	ORD	MRY	California
16542	2008	ORD	MRY	California
16544	2008	ORD	MRY	California
16546	2008	ORD	MRY	California
18129	2008	ORD	FSD	South Dakota
18895	2008	ORD	BWI	Maryland
18934	2008	ORD	ORF	Virginia
19228	2008	ORD	SGF	Missouri
19626	2008	ORD	MSN	Wisconsin
19628	2008	ORD	MSN	Wisconsin
19630	2008	ORD	MSN	Wisconsin
20340	2008	ORD	MSO	Montana
20973	2008	ORD	DEN	Colorado
20975	2008	ORD	MSO	Montana
20977	2008	ORD	MSO	Montana
20979	2008	ORD	MSO	Montana
20981	2008	ORD	MSO	Montana
20983	2008	ORD	MSO	Montana
20985	2008	ORD	MSO	Montana
20987	2008	ORD	MSO	Montana
20989	2008	ORD	MSO	Montana
20991	2008	ORD	BIL	Montana
21003	2008	ORD	SEA	Washington
22344	2008	ORD	MSO	Montana
22473	2008	ORD	MSO	Montana
22475	2008	ORD	MSO	Montana
22477	2008	ORD	MSO	Montana
22479	2008	ORD	MSO	Montana
22481	2008	ORD	MSO	Montana
26572	2008	ORD	OAK	California
26574	2008	ORD	OAK	California
26576	2008	ORD	OAK	California
26578	2008	ORD	OAK	California
26580	2008	ORD	OAK	California
26582	2008	ORD	OAK	California
26584	2008	ORD	OAK	California
26586	2008	ORD	OAK	California
26593	2008	ORD	SFO	California
27670	2008	ORD	OAK	California
27672	2008	ORD	OAK	California
27674	2008	ORD	OAK	California
28185	2008	ORD	OKC	Oklahoma
28674	2008	ORD	GUC	Colorado
28676	2008	ORD	OKC	Oklahoma
28709	2008	ORD	LNK	Nebraska
28711	2008	ORD	OKC	Oklahoma
28729	2008	ORD	OKC	Oklahoma
28731	2008	ORD	OKC	Oklahoma
28733	2008	ORD	OKC	Oklahoma
28735	2008	ORD	OKC	Oklahoma
28737	2008	ORD	OKC	Oklahoma
28739	2008	ORD	OKC	Oklahoma
28741	2008	ORD	OKC	Oklahoma
28743	2008	ORD	OKC	Oklahoma
28745	2008	ORD	OKC	Oklahoma
28747	2008	ORD	OKC	Oklahoma
28749	2008	ORD	OKC	Oklahoma
28751	2008	ORD	OKC	Oklahoma
